Dates,SPX_MOV_AVG_200D,SPX_RSI_14D,SPX_MOV_AVG_50D,SPX_PX_LAST,SPX_PX_OPEN,SPX_PX_HIGH,SPX_PX_LOW,SPX_PX_VOLUME,SPX_VOLATILITY_30D,SPX_BETA_ADJ_OVERRIDABLE,SPX_PX_HIGH_LOW_DIFFERENCE,CONCCONF_PX_LAST,NAPMPMI_PX_LAST,SPXINDEX_PE_RATIO,SPXINDEX_PX_TO_BOOK_RATIO,SPXINDEX_PX_TO_SALES_RATIO,SPXINDEX_EARN_YLD,USGG10YR_PX_LAST,VIX_PX_LAST
2016-03-14,2019.41,64.52,1930.91,2019.64,2019.27,2024.57,2012.05,552000000.0,18.18,1.0,12.52,94.0,49.2,17.8196,2.7669,1.7851,5.6118,1.9592,16.92
2016-03-15,2018.95,63.36,1930.35,2015.93,2015.27,2015.94,2005.23,538000000.0,17.1,1.0,10.71,94.0,49.2,17.7868,2.7622,1.7818,5.6221,1.9699,16.84
2016-03-16,2018.53,65.4,1930.64,2027.22,2014.24,2032.02,2010.04,625000000.0,17.11,1.0,21.98,94.0,49.2,17.8865,2.7777,1.7918,5.5908,1.9081,14.99
2016-03-17,2018.19,67.69,1931.12,2040.59,2026.9,2046.24,2022.16,668000000.0,17.16,1.0,24.08,94.0,49.2,18.0044,2.796,1.8036,5.5542,1.8958,14.44
2016-03-18,2017.86,69.17,1932.31,2049.58,2041.16,2052.36,2041.16,1760000000.0,15.9,1.0,11.2,94.0,49.2,18.0836,2.8083,1.8116,5.5299,1.8732,14.02
2016-03-21,2017.64,69.51,1934.48,2051.6,2047.88,2053.91,2043.14,546000000.0,15.0,1.0,10.77,94.0,49.2,18.1174,2.8111,1.8134,5.5195,1.9155,13.79
2016-03-22,2017.43,68.78,1937.03,2049.8,2048.64,2056.6,2040.57,565000000.0,15.01,1.0,16.03,94.0,49.2,18.1016,2.8087,1.8118,5.5244,1.9403,14.17
2016-03-23,2017.21,63.6,1939.29,2036.71,2048.55,2048.55,2034.86,551000000.0,15.26,1.0,13.69,94.0,49.2,17.986,2.7908,1.8002,5.5599,1.8786,14.94
2016-03-24,2016.99,63.3,1941.24,2035.94,2032.48,2036.04,2022.49,611000000.0,14.52,1.0,13.55,94.0,49.2,17.9789,2.7897,1.7995,5.5621,1.9,14.74
2016-03-28,2016.65,63.57,1944.17,2037.05,2037.89,2042.67,2031.96,471000000.0,13.71,1.0,10.71,94.0,49.2,17.9885,2.7912,1.8005,5.5591,1.886,15.24
2016-03-29,2016.38,67.69,1946.84,2055.01,2035.75,2055.91,2028.31,591000000.0,13.2,1.0,27.6,94.0,49.2,18.1464,2.8158,1.8164,5.5107,1.8035,13.82
2016-03-30,2016.23,69.54,1950.51,2063.95,2058.27,2072.21,2058.27,527000000.0,12.53,1.0,13.94,94.0,49.2,18.2197,2.8281,1.8243,5.4886,1.8228,13.56
2016-03-31,2016.11,67.58,1954.08,2059.74,2063.77,2067.92,2057.46,652000000.0,12.42,1.0,10.46,96.1,51.0,18.1825,2.8223,1.8206,5.4998,1.7687,13.95
2016-04-01,2015.99,70.36,1958.35,2072.78,2056.62,2075.07,2043.98,666000000.0,12.45,1.0,31.09,96.1,51.0,18.2933,2.8398,1.8316,5.4665,1.7705,13.1
2016-04-04,2015.82,67.19,1962.29,2066.13,2073.19,2074.02,2062.57,547000000.0,12.02,1.0,11.45,96.1,51.0,18.2346,2.8307,1.8258,5.4841,1.7618,14.12
2016-04-05,2015.44,58.28,1965.05,2045.17,2062.5,2062.5,2042.56,676000000.0,11.77,1.0,19.94,96.1,51.0,18.0496,2.802,1.8072,5.5403,1.7201,15.42
2016-04-06,2015.22,63.61,1968.85,2066.66,2045.56,2067.33,2043.09,595000000.0,12.02,1.0,24.24,96.1,51.0,18.2392,2.8314,1.8262,5.4827,1.7549,14.09
2016-04-07,2014.82,54.91,1971.61,2041.91,2063.01,2063.01,2033.8,648000000.0,12.43,1.0,29.21,96.1,51.0,18.0208,2.7975,1.8044,5.5491,1.6889,16.16
2016-04-08,2014.43,56.39,1974.9,2047.6,2045.54,2060.63,2041.69,552000000.0,12.39,1.0,18.94,96.1,51.0,18.071,2.8053,1.8094,5.5337,1.7167,15.36
2016-04-11,2014.1,54.49,1977.88,2041.99,2050.23,2062.93,2041.88,598000000.0,12.09,1.0,21.05,96.1,51.0,18.0215,2.7976,1.8044,5.5489,1.7254,16.26
2016-04-12,2013.9,59.63,1980.31,2061.72,2043.72,2065.05,2039.74,599000000.0,10.37,1.0,25.31,96.1,51.0,18.1957,2.8246,1.8219,5.4958,1.7761,14.85
2016-04-13,2013.8,64.2,1983.17,2082.42,2065.92,2083.18,2065.92,644000000.0,10.66,1.0,17.26,96.1,51.0,18.3783,2.853,1.8402,5.4412,1.7639,13.84
2016-04-14,2013.93,64.27,1986.76,2082.78,2082.89,2087.84,2078.13,573000000.0,10.65,1.0,9.71,96.1,51.0,18.3815,2.8535,1.8405,5.4402,1.7919,13.72
2016-04-15,2014.02,63.45,1990.13,2080.73,2083.1,2083.22,2076.31,709000000.0,10.66,1.0,6.91,96.1,51.0,18.3634,2.8507,1.8387,5.4456,1.7518,13.62
2016-04-18,2014.1,66.52,1993.7,2094.34,2078.83,2094.66,2073.65,560000000.0,10.77,1.0,21.01,96.1,51.0,18.4835,2.8693,1.8507,5.4102,1.7711,13.35
2016-04-19,2014.22,67.89,1998.12,2100.8,2096.05,2104.05,2091.68,607000000.0,10.01,1.0,12.37,96.1,51.0,18.5405,2.8782,1.8564,5.3936,1.7851,13.24
2016-04-20,2014.39,68.24,2003.1,2102.4,2101.52,2111.05,2096.32,630000000.0,9.97,1.0,14.73,96.1,51.0,18.5547,2.8804,1.8578,5.3895,1.845,13.28
2016-04-21,2014.44,63.2,2007.88,2091.48,2102.09,2103.78,2088.52,662000000.0,10.19,1.0,15.26,96.1,51.0,18.4583,2.8654,1.8482,5.4176,1.861,13.95
2016-04-22,2014.66,63.23,2012.68,2091.58,2091.49,2094.32,2081.2,713000000.0,9.14,1.0,13.12,96.1,51.0,18.4592,2.8655,1.8483,5.4174,1.8878,13.22
